585||NHK 1 Kushiro|0000-2400|1234567|Japanese|10||Kushiro|J|425923N1442447E|JOPG
585||NHK 1 Maizuru|0000-2400|1234567|Japanese|0.5||Maizuru|J|352832N1352326E|
585||Radio Nacional|0000-2400|1234567|Spanish|600||Majadahonda (Madrid)|E||RNE1
585||SBC R.Riyadh|0300-2300|1234567|Arabic|1200||Riyadh|ARS|244936N0465243E|SBC
594||NHK 1 Tokyo|0000-2400|1234567|Japanese|300||Saitama-Kuki|J|360415N1393729E|JOAK
594||R.Myanmar|2300-1700|1234567|Burmese|200||Naypyidaw|MMR|201056N0960827E|MRNS //5985
594||SBC R.Riyadh|0300-1500|1234567|Arabic|2000||Duba|ARS|272700N0353522E|SBC
603||CHINA RADIO INTERNATIONAL|0400-0600|1234567|Vietnamese|600||Dongfang Hainan 871|CHN|185333N1083920E|CRI
603||CHINA RADIO INTERNATIONAL|1100-1200|1234567|Cantonese|600||Dongfang Hainan 871|CHN|185333N1083920E|CRI
603||CHINA RADIO INTERNATIONAL|1200-1700|1234567|Vietnamese|600||Dongfang Hainan 871|CHN|185333N1083920E|CRI
603||CHINA RADIO INTERNATIONAL|2300-0100|1234567|Vietnamese|600||Dongfang Hainan 871|CHN|185333N1083920E|CRI
603||KBS 2 Happy FM|2000-1800|1234567|Korean|500||Hwaseong|KOR|371507N1264455E|HLSA 106.1
603||NHK 1 Obihiro|0000-2400|1234567|Japanese|5||Obihiro|J|425853N1431158E|JOOG
603||NHK 1 Okayama|0000-2400|1234567|Japanese|5||Okayama|J|343644N1335354E|JOKK
603||Radio Romania Actualitati|0000-2400|1234567|Romanian|50||Oradea|ROU||SRR
610||Voice of Vietnam H|2100-1700|1234567|Vietnamese|200||Ho Chi Minh|VTN|105106N1064734E|
612||NHK 1 Fukuoka|0000-2400|1234567|Japanese|100||Fukuoka|J|333158N1302645E|JOLK
612||R.POLONIA|2100-2130|1234567|Belarusian|100|ND|Vilnius-Virsuliskes|LTU|5542N02459E|PRW
621||MASHAAL RADIO|0400-1300|1234567|Pashto|200|ND|Khost|AFG|331407N0694835E|RFE/IBB(R.Mashal) b18
621||NHK 1 Asahikawa|0000-2400|1234567|Japanese|3||Asahikawa|J|434547N1422452E|JOCG
621||NHK 1 Iida|0000-2400|1234567|Japanese|1||Nagano-Iida|J|352952N1375056E|
621||NHK 1 Nobeoka|0000-2400|1234567|Japanese|1||Miyazaki-Nobeoka|J|323423N1314116E|
621||PYONGYANG BS|0300-0700|1234567|Korean|500||Chongjin-Nanam|KRE|414633N1294222E|PBS
621||PYONGYANG BS|1300-2000|1234567|Korean|500||Chongjin-Nanam|KRE|414633N1294222E|PBS
621||RTBF International|0400-1800|1234567|French|300||Waver-Overijse|BEL|5044N00434E|RTBF a18 May31
621||VOA DEEWA RADIO|0100-0400|1234567|Pashto|200|ND|Khost|AFG|331407N0694835E|VOA/IBB Deewa R b18
621||VOA DEEWA RADIO|1300-1900|1234567|Pashto|200|ND|Khost|AFG|331407N0694835E|VOA/IBB Deewa R b18
621||Voice of Korea|0700-1250|1234567|Japanese|500||Chongjin-Nanam|KRE|414633N1294222E|VOK b18
621||Voice of Korea|2100-2350|1234567|Japanese|500|ND|Chongjin-Nanam|KRE|414633N1294222E|VOK b18
621||Voice of Korea (KCBS)|2000-2100|1234567|Korean|500|ND|Chongjin-Nanam|KRE|414633N1294222E|VOK b18
630||Radio Romania Actualitati|2000-0355|1234567|Romanian|400||Ortisoara|ROU||SRR
630||Radio Timisoara|0400-2000|1234567|Romanian|400||Ortisoara|ROU||SRR
630||RTV.TUNISIA|0000-2400|1234567|Arabic|600||Tunis-Djedeida|TUN||RTT
639||BBC|0330-2100|1234567|Arabic|500|180|Limassol|CYP|343700N0330003E|BBC
639||Cesky rozhlas 2/6|0300-2300|1234567|Czech|1500||Liblice|CZE||CR2/6
